Married,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments,user,sensitive,h_c,s
0,3,5500,4490,2,5,0,710,150,0,0,0,81,1,1,0.8729522
0,1,860,50,0,0,0,800,50,0,0,0,82,1,0,0.7795713
1,2,4250,330,0,0,0,4020,330,1,2,1,83,0,1,0.805521
0,1,1490,50,0,0,2,1490,50,0,0,0,84,1,1,0.81678
0,2,3970,2440,1,0,1,3970,130,0,0,0,85,1,1,0.82342625
1,3,40,40,1,6,0,10,40,1,2,1,86,0,0,0.6946718
0,2,260,70,1,6,0,120,40,0,0,0,87,1,1,0.63234454
1,3,3600,1220,2,4,1,2480,1220,0,0,0,88,0,1,0.9240725
0,1,380,60,0,0,0,260,0,2,6,1,89,1,1,0.3393559
1,3,4570,190,0,0,0,4220,190,1,12,1,90,0,0,0.70155376
0,3,230,120,1,6,0,230,0,0,0,0,91,1,1,0.7482731
0,3,170,230,1,6,0,0,230,0,0,0,92,1,1,0.8893536
1,2,50,240,2,6,0,30,50,0,0,0,93,0,1,0.84310025
0,2,1440,60,0,0,0,1390,60,0,0,0,94,1,1,0.8124856
0,2,2680,110,0,0,3,2560,110,0,0,0,95,1,1,0.8058428
1,3,810,2110,4,6,0,120,250,0,0,0,96,0,1,0.91539556
0,3,2740,310,0,0,0,2630,120,0,0,0,97,1,1,0.76313466
1,1,570,40,0,2,0,570,40,0,0,0,98,0,1,0.80928296
1,2,600,50,0,1,5,550,50,0,0,0,99,0,0,0.703208
0,3,310,310,2,6,0,20,310,0,0,0,100,1,1,0.87832874
0,3,1040,1010,2,6,0,0,10,0,0,0,101,1,1,0.83175313
1,3,14870,1700,0,0,6,12890,490,1,4,1,102,0,1,0.7372735
0,1,1360,50,0,0,2,1360,50,0,0,0,103,1,0,0.86604965
0,2,1840,150,0,0,6,1730,0,1,10,1,104,1,1,0.5254642
0,2,810,810,1,5,0,170,0,0,0,0,105,1,1,0.8765859
1,2,190,100,1,6,0,190,90,0,0,0,106,0,1,0.89040434
0,3,160,160,4,6,0,20,70,0,0,0,107,1,1,0.8880944
0,2,5450,4090,2,0,4,5230,330,0,0,0,108,1,1,0.862973
1,2,0,0,0,6,0,0,0,1,1,1,109,0,1,0.668123
1,3,3310,480,0,0,0,3230,280,1,2,1,110,0,1,0.8640499
1,1,530,60,0,0,0,400,60,1,2,1,111,0,1,0.61342233
1,2,4650,450,0,0,0,4140,200,1,13,1,112,0,1,0.6720892
0,3,1840,160,0,0,0,1590,60,0,0,0,113,1,1,0.6532317
0,2,620,40,0,0,0,580,40,0,0,0,114,1,1,0.7309661
0,3,650,90,0,0,0,560,0,2,7,1,115,1,0,0.42024866
0,3,170,170,2,6,0,10,10,0,0,0,116,1,1,0.8648825
0,2,560,60,0,2,0,430,60,1,2,1,117,1,0,0.69987625
1,2,600,450,2,6,0,600,300,0,0,0,118,0,1,0.90554935
0,2,1620,90,0,2,0,1530,60,0,0,0,119,1,1,0.74470043
0,1,1560,120,0,0,6,1400,30,1,13,1,120,1,0,0.42549714
1,3,0,0,0,6,0,0,0,1,1,1,121,0,0,0.58090836
1,3,0,0,0,6,0,0,0,1,1,1,122,0,1,0.57692504
1,2,9500,400,0,0,4,9310,400,1,2,1,123,0,0,0.8246019
0,3,600,40,0,0,5,580,40,0,0,0,124,1,1,0.76566654
0,2,0,0,0,6,0,0,0,1,1,1,125,1,1,0.6497716
0,1,3360,120,0,0,0,3360,110,0,0,0,126,1,1,0.8443513
1,3,5000,140,0,0,1,5000,140,0,0,0,127,0,0,0.8282476
1,2,220,50,0,6,0,100,30,0,0,0,128,0,0,0.72664326
1,1,1880,80,0,0,3,1850,80,1,7,1,129,0,1,0.8110391
0,3,420,420,2,5,0,120,170,1,1,1,130,1,1,0.92053086
0,3,100,100,3,6,0,0,80,1,1,1,131,1,1,0.705154
1,2,7740,350,0,0,0,7740,300,0,0,0,132,0,1,0.81899077
1,1,7010,260,0,0,0,6940,250,0,0,0,133,0,1,0.8533109
0,2,870,60,1,1,4,870,60,0,0,0,134,1,1,0.809469
1,2,430,50,0,6,0,330,50,1,6,1,135,0,1,0.5487578
0,3,920,150,0,5,0,530,80,0,0,0,136,1,1,0.7799481
1,2,280,60,0,6,0,220,50,0,0,0,137,0,1,0.7598786
1,1,180,180,1,6,0,20,10,0,0,0,138,0,0,0.8229278
0,3,1550,70,0,0,3,1550,70,0,0,0,139,1,1,0.8511788
0,3,0,0,0,6,0,0,0,1,1,1,140,1,0,0.67934513
0,2,60,110,4,6,0,60,0,0,0,0,141,1,1,0.7731845
0,2,630,310,0,0,0,310,30,1,7,1,142,1,1,0.6189736
0,2,480,480,1,6,0,370,310,0,0,0,143,1,1,0.9118842
0,3,480,480,3,4,0,40,480,0,0,0,144,1,1,0.89110297
0,3,320,60,0,4,0,150,30,1,3,1,145,1,1,0.62137645
0,2,640,50,0,6,0,590,50,0,0,0,146,1,0,0.6942523
0,3,6020,1690,0,0,2,6020,240,1,3,1,147,1,1,0.84054035
1,2,370,60,0,6,0,280,50,1,8,1,148,0,1,0.5018905
1,3,650,690,3,6,0,0,0,1,1,1,149,0,1,0.81151193
1,2,2650,150,0,0,0,2650,110,1,2,1,150,0,1,0.79578644
0,3,1700,920,0,0,0,1300,920,0,0,0,151,1,1,0.94069445
0,3,90,90,1,6,0,10,90,1,1,1,152,1,1,0.7801501
1,2,6370,3050,0,0,0,6370,250,0,0,0,153,0,1,0.8691311
0,1,430,50,0,0,0,280,50,0,0,0,154,1,1,0.69414216
1,3,1490,360,0,1,0,730,150,0,0,0,155,0,1,0.8229412
0,3,3220,150,0,0,0,3220,120,0,0,0,156,1,1,0.85977685
0,1,5990,230,0,0,4,5990,220,0,0,0,157,1,1,0.85942316
1,1,4710,360,0,0,0,3540,320,1,24,1,158,0,0,0.7179266
1,1,430,50,0,0,0,390,0,1,5,1,159,0,1,0.333076
0,3,860,110,0,0,6,740,110,1,10,1,160,1,1,0.6326997
0,2,30,30,2,6,0,10,10,2,4,1,161,1,1,0.7182483
1,1,40,20,1,6,0,40,10,0,0,0,162,0,1,0.79776496
1,3,4890,550,0,0,0,4310,550,1,2,1,163,0,1,0.80395687
1,2,850,90,0,0,0,650,90,0,0,0,164,0,1,0.6896914
0,3,3200,170,0,0,3,3100,170,0,0,0,165,1,1,0.81413203
0,3,470,470,3,6,0,190,470,0,0,0,166,1,1,0.8941094
1,2,3130,1530,1,1,2,3130,100,1,4,1,167,0,1,0.83096236
1,2,2700,310,0,0,5,2200,110,1,2,1,168,0,1,0.70742506
0,2,900,50,0,0,0,860,50,0,0,0,169,1,1,0.8071395
0,2,1150,150,0,6,0,1150,150,0,0,0,170,1,1,0.87698317
0,3,130,130,2,6,0,20,100,0,0,0,171,1,1,0.83888036
0,2,470,460,3,4,0,260,460,0,0,0,172,1,1,0.9122312
0,3,0,0,6,6,0,0,0,1,1,1,173,1,0,0.6816968
0,3,0,0,0,6,0,0,0,1,1,1,174,1,1,0.67720366
1,1,2220,170,0,0,0,1970,90,1,12,1,175,0,0,0.62373894
0,3,190,110,3,6,0,190,20,0,0,0,176,1,1,0.820198
0,2,1490,60,0,0,3,1490,0,2,5,1,177,1,1,0.62228185
0,2,490,50,0,0,1,490,40,0,0,0,178,1,1,0.8406335
1,2,2500,180,0,2,3,2380,180,1,2,1,179,0,1,0.78699046
0,3,810,2010,2,6,0,370,460,1,2,1,180,1,1,0.90848804
0,1,1510,380,0,2,0,1510,380,0,0,0,181,1,1,0.91482556
1,3,3750,2140,1,2,0,1720,2140,0,0,0,182,0,1,0.9047743
1,2,1770,90,0,0,3,1770,80,0,0,0,183,0,0,0.8442776
0,2,400,60,1,2,0,320,40,0,0,0,184,1,1,0.7239227
1,2,500,50,0,6,0,440,0,2,5,1,185,0,0,0.411555
0,3,2090,2090,4,6,0,80,1740,1,1,1,186,1,1,0.8720267
0,1,6200,250,0,0,6,6090,250,1,12,1,187,1,0,0.8135179
1,2,450,160,1,6,0,0,160,1,1,1,188,0,1,0.8341482
0,2,660,30,0,0,6,660,0,1,19,1,189,1,1,0.40014607
0,3,2010,310,0,3,0,1830,310,0,0,0,190,1,1,0.8013433
0,3,700,60,0,0,0,600,40,2,4,1,191,1,0,0.59496915
0,3,530,530,1,6,0,350,10,0,0,0,192,1,1,0.8562722
0,3,670,1160,1,6,0,450,1160,1,2,1,193,1,1,0.9073578
1,2,1460,610,3,3,1,1460,60,0,0,0,194,0,1,0.8654994
0,3,1220,60,0,0,0,1100,60,1,11,1,195,1,0,0.6577558
1,2,50,50,1,6,0,0,0,0,0,0,196,0,1,0.808072
0,3,590,610,1,0,5,570,50,0,0,0,197,1,1,0.8498119
1,3,70,480,2,6,0,10,0,0,0,0,198,0,1,0.82666737
0,1,910,50,0,2,4,890,30,1,5,1,199,1,0,0.7888662
1,3,20,0,0,6,0,20,0,0,0,0,200,0,1,0.90646154
0,3,840,760,0,6,0,830,760,2,4,1,201,1,1,0.90324
0,3,550,410,2,6,0,410,310,0,0,0,202,1,1,0.95813566
0,2,3730,150,0,0,6,3280,150,0,0,0,203,1,1,0.8018193
1,2,7150,280,0,0,0,6910,280,0,0,0,204,0,1,0.82521373
1,1,620,680,1,1,5,10,680,0,0,0,205,0,1,0.89315814
1,3,40,70,2,6,0,10,40,0,0,0,206,0,1,0.71078277
1,2,110,110,2,6,0,90,50,0,0,0,207,0,0,0.90137327
0,2,2490,100,0,0,3,2490,100,0,0,0,208,1,0,0.84385735
1,3,270,130,1,6,0,270,130,0,0,0,209,0,1,0.90855557
0,3,3410,2610,1,2,0,3220,150,0,0,0,210,1,1,0.86066675
1,3,40,290,4,6,0,0,0,1,1,1,211,0,0,0.78614783
1,1,1190,50,0,0,5,1170,50,0,0,0,212,0,1,0.8308788
0,2,870,90,0,0,2,870,90,1,2,1,213,1,1,0.8327855
0,2,14660,400,0,0,1,9060,400,1,8,1,214,1,1,0.7570435
1,1,40,40,1,6,0,10,10,1,2,1,215,0,1,0.71003383
1,2,0,0,6,6,0,0,0,1,1,1,216,0,0,0.6506173
0,2,2440,110,0,0,6,2420,90,1,2,1,217,1,1,0.8558533
0,1,2750,270,0,0,1,2750,120,0,0,0,218,0,1,0.7808227
0,3,140,140,1,6,0,40,140,0,0,0,219,1,1,0.8717489
1,3,3670,370,0,0,0,3210,370,1,6,1,220,0,0,0.783966
0,1,10250,380,0,0,6,10230,380,0,0,0,221,1,1,0.8456345
0,2,9080,520,0,0,2,8900,370,0,0,0,222,1,1,0.8411687
0,2,3320,580,0,2,0,2800,310,0,0,0,223,1,1,0.79497755
0,1,1610,930,1,0,3,1610,0,1,6,1,224,1,0,0.75772405
0,3,4010,690,0,0,0,3980,200,0,0,0,225,1,1,0.8234345
1,1,100,80,0,6,0,100,80,0,0,0,226,0,1,0.86302865
1,2,590,90,0,0,6,500,50,0,0,0,227,0,1,0.56283957
0,2,1520,70,0,0,3,1520,70,1,2,1,228,1,0,0.8293387
0,1,580,100,1,2,3,580,0,1,3,1,229,1,1,0.5789748
0,3,1090,60,0,1,0,1070,60,0,0,0,230,1,1,0.8571941
0,2,620,310,0,0,4,620,0,2,5,1,231,1,0,0.7278858
1,2,3140,1390,2,3,3,3140,0,0,0,0,232,0,1,0.84085995
0,2,4580,370,0,0,0,3960,150,2,6,1,233,1,0,0.6817471
1,2,1780,50,0,0,1,1780,50,0,0,0,234,0,1,0.82728034
0,3,610,610,2,5,0,240,120,0,0,0,235,1,1,0.92170167
0,2,3890,140,0,1,1,3890,140,0,0,0,236,1,1,0.84513634
0,3,230,230,3,6,0,40,0,0,0,0,237,1,1,0.8309452
1,1,7150,310,0,0,6,7150,310,0,0,0,238,0,0,0.8422915
0,2,700,90,0,6,0,590,90,0,0,0,239,0,0,0.616966
0,3,660,70,1,4,0,660,0,1,5,1,240,1,1,0.5805301
0,3,1550,90,0,0,4,1440,50,0,0,0,241,1,1,0.74352163
0,2,900,50,0,0,0,810,50,0,0,0,242,1,1,0.74217933
0,3,180,90,2,6,0,100,90,1,4,1,243,1,1,0.5887786
0,3,10,10,1,6,0,0,10,1,8,1,244,1,1,0.84459186
0,2,620,70,0,2,4,610,50,0,0,0,245,1,1,0.80890465
1,2,1610,170,2,5,0,1610,50,0,0,0,246,0,1,0.7855187
0,2,1150,70,0,0,0,1150,50,0,0,0,247,1,1,0.84054863
0,3,1560,150,0,6,0,1410,80,1,2,1,248,1,1,0.6438376
1,1,1090,60,0,0,0,1090,50,0,0,0,249,0,1,0.85863394
0,2,1570,90,0,0,3,1550,50,1,5,1,250,1,1,0.8023518
0,2,900,150,0,1,4,890,150,0,0,0,251,1,1,0.88725984
0,2,3290,160,0,0,0,3100,160,0,0,0,252,1,0,0.7775317
0,3,3040,3040,1,2,0,2140,220,0,0,0,253,1,1,0.85465187
0,2,600,150,2,6,0,600,100,0,0,0,254,1,1,0.87341374
1,2,910,50,0,0,0,850,50,0,0,0,255,0,1,0.7705082
1,2,650,650,2,6,0,40,40,0,0,0,256,0,1,0.8759203
1,2,1610,1610,2,5,0,240,70,0,0,0,257,0,1,0.8579874
1,1,1900,0,0,5,0,1900,0,0,0,0,258,0,1,0.7803916
1,3,6520,310,0,0,3,6420,310,1,2,1,259,0,0,0.81580126
0,3,3290,1980,1,4,0,2390,1220,0,0,0,260,1,1,0.93453515
0,2,1500,190,0,0,1,1500,50,0,0,0,261,1,1,0.8048836
1,3,580,580,2,6,0,140,140,1,2,1,262,0,1,0.91891354
0,3,1550,1570,2,5,0,70,1570,0,0,0,263,1,1,0.9044232
0,3,520,520,3,5,0,310,10,0,0,0,264,1,1,0.8453017
1,2,190,10,1,6,0,190,0,0,0,0,265,0,1,0.7929027
0,1,300,40,0,0,4,210,30,1,2,1,266,1,1,0.6208458
0,1,2790,130,0,0,0,2720,130,0,0,0,267,1,0,0.798097
0,3,1090,50,0,0,6,1060,50,0,0,0,268,1,1,0.84389013
0,2,450,80,0,1,0,420,50,1,7,1,269,1,0,0.75951445
0,1,2140,60,0,2,0,2140,60,0,0,0,270,1,1,0.8218585
1,3,40,40,2,6,0,30,0,1,2,1,271,0,1,0.7191498
0,3,0,0,0,6,0,0,0,1,1,1,272,1,0,0.6773339
0,2,500,90,0,6,0,340,60,0,0,0,273,1,1,0.5852784
0,2,0,0,0,6,0,0,0,0,0,0,274,1,0,0.7374694
0,2,2110,380,0,0,3,2100,140,0,0,0,275,1,1,0.8553083
1,3,690,690,3,6,0,10,80,1,2,1,276,0,0,0.898791
0,3,40,10,0,6,0,40,10,0,0,0,277,1,1,0.7520414
1,1,1550,70,0,0,3,1550,60,0,0,0,278,0,1,0.81048274
1,2,3150,150,0,0,0,3150,120,0,0,0,279,0,1,0.8492177
0,3,80,50,1,6,0,50,30,0,0,0,280,1,1,0.8941387
1,2,3890,1350,0,2,0,3890,310,0,0,0,281,0,1,0.8786177
0,1,5010,240,0,0,3,5010,240,0,0,0,282,1,1,0.8255495
0,3,1720,150,0,0,0,1630,130,0,0,0,283,1,1,0.7851981
1,1,5960,150,0,0,1,5960,150,0,0,0,284,0,1,0.81697273
1,3,3370,1280,1,5,0,3370,1280,0,0,0,285,0,1,0.95044893
0,3,1940,100,0,0,0,1850,100,1,2,1,286,1,1,0.826759
1,2,5540,260,0,0,0,5520,260,0,0,0,287,0,1,0.85382444
0,2,2190,110,0,0,0,2160,110,1,2,1,288,1,0,0.840013
1,2,360,40,0,6,0,270,40,0,0,0,289,0,1,0.7302608
0,3,30,10540,2,6,0,30,30,0,0,0,290,1,0,0.835109
0,2,0,0,0,6,0,0,0,1,1,1,291,1,0,0.6431838
1,2,80,30,0,6,0,50,30,1,13,1,292,0,1,0.4381832
0,2,310,110,0,0,5,210,110,1,2,1,293,1,0,0.63763803
0,3,0,50,1,6,0,0,0,1,1,1,294,1,1,0.78603846
0,3,6030,270,0,0,3,5930,270,0,0,0,295,1,1,0.83298826
1,2,70,80,3,6,0,50,20,0,0,0,296,0,1,0.83042014
1,2,4520,200,0,0,0,4370,200,0,0,0,297,0,1,0.8247978
1,3,1930,110,0,3,0,1800,80,0,0,0,298,0,1,0.7232576
0,3,600,600,2,6,0,0,0,1,1,1,299,1,0,0.8236671
0,2,3030,110,0,0,2,3030,110,0,0,0,300,1,1,0.84728014
0,3,0,4950,1,6,0,0,0,0,0,0,301,1,1,0.8279038
1,1,1560,70,0,0,2,1520,70,0,0,0,302,0,1,0.8166087
0,3,850,120,0,0,1,370,90,1,2,1,303,1,0,0.78148174
0,3,230,120,2,6,0,30,20,0,0,0,304,1,1,0.8439019
0,2,170,180,3,6,0,10,100,0,0,0,305,1,1,0.8582906
1,2,730,730,2,6,0,320,730,0,0,0,306,0,1,0.91496885
1,2,160,160,1,6,0,0,160,1,1,1,307,0,1,0.7790452
1,1,440,60,0,0,0,300,40,1,16,1,308,0,0,0.5291064
0,3,640,450,2,3,0,640,420,0,0,0,309,1,1,0.9128258
1,2,160,280,2,6,0,110,30,0,0,0,310,0,1,0.861988
1,2,4490,210,0,0,2,4380,210,0,0,0,311,0,1,0.8420809
0,3,510,90,0,0,1,330,90,1,2,1,312,1,1,0.5879945
1,1,1830,180,0,0,0,1600,0,1,6,1,313,0,0,0.44422752
0,3,1700,50,0,2,0,1700,50,0,0,0,314,1,1,0.8225345
0,2,1510,60,0,0,1,1510,60,0,0,0,315,1,0,0.8206163
0,2,1640,80,0,0,0,1460,70,0,0,0,316,1,1,0.7039247
1,1,20,20,2,6,0,0,10,1,1,1,317,0,1,0.7597844
1,1,1560,110,0,0,2,1480,110,1,7,1,318,0,1,0.77051026
0,2,0,0,0,6,0,0,0,1,1,1,319,1,1,0.6240151
0,2,1780,80,0,0,0,1780,80,1,5,1,320,1,0,0.87447184
0,3,5500,1530,0,0,0,5260,640,0,0,0,321,1,1,0.88358283
0,2,260,110,0,6,0,40,30,0,0,0,322,1,1,0.83656293
1,2,800,190,1,6,0,800,50,0,0,0,323,0,0,0.8720913
0,2,3080,310,0,0,0,2840,310,0,0,0,324,1,1,0.82353354
0,2,1380,1160,1,5,0,0,0,1,1,1,325,1,1,0.82526845
1,2,30,30,1,6,0,20,10,2,6,1,326,0,0,0.67744946
1,2,920,120,0,0,0,760,120,1,10,1,327,0,0,0.62153107
1,2,1540,2360,2,6,0,1540,1360,0,0,0,328,0,1,0.8833754
1,3,3340,250,0,0,0,3050,160,1,12,1,329,0,1,0.7166624
1,2,710,730,3,6,0,0,30,2,3,1,330,0,0,0.8600741
0,2,390,90,0,6,0,290,90,1,2,1,331,1,0,0.57616687
0,3,970,350,0,4,0,320,0,1,3,1,332,1,1,0.7408366
1,2,2390,2390,2,6,0,0,0,1,1,1,333,0,1,0.8498974
0,3,630,50,0,0,6,630,40,0,0,0,334,1,1,0.75418484
0,3,4900,230,0,0,3,4380,180,0,0,0,335,1,1,0.73822236
0,3,4890,310,0,0,0,4790,310,0,0,0,336,1,1,0.8336494
0,2,10,0,0,6,0,10,0,0,0,0,337,1,1,0.8277593
1,2,1520,130,0,0,3,1420,60,0,0,0,338,0,0,0.6189642
0,3,200,210,4,6,0,30,210,0,0,0,339,1,1,0.84974027
0,2,0,60,1,6,0,0,0,0,0,0,340,1,1,0.8123416
0,2,190,40,1,6,0,180,40,0,0,0,341,1,1,0.83393997
0,3,760,620,2,6,0,70,0,2,4,1,342,1,1,0.8329191
1,3,8600,4430,2,2,3,8390,340,0,0,0,343,0,1,0.84543216
0,3,4440,170,0,0,1,4440,170,0,0,0,344,1,1,0.8666861
0,3,190,400,4,6,0,90,0,0,0,0,345,1,1,0.8411351
0,2,130,130,1,6,0,40,130,0,0,0,346,1,1,0.866011
0,2,1540,90,0,0,5,1440,90,0,0,0,347,1,0,0.80910695
0,2,4340,200,0,0,6,4220,200,0,0,0,348,1,1,0.82808703
0,2,630,50,0,0,0,550,40,0,0,0,349,1,0,0.6230461
0,3,1190,710,1,3,0,1190,50,0,0,0,350,1,1,0.8620397
1,3,100,3050,5,6,0,0,310,1,1,1,351,0,1,0.88522315
0,3,0,0,0,6,0,0,0,1,1,1,352,1,0,0.6732658
0,2,2380,100,0,0,2,2350,100,0,0,0,353,1,1,0.8154799
1,1,580,100,0,0,0,490,100,2,8,1,354,0,1,0.59992224
1,2,950,60,0,6,0,850,50,0,0,0,355,0,0,0.6361841
0,2,4310,190,0,0,0,4310,190,0,0,0,356,1,1,0.866107
0,2,5930,1070,0,0,0,5930,280,0,0,0,357,1,1,0.8101227
0,0,2580,120,0,0,0,2560,90,0,0,0,358,1,1,0.8318698
1,3,1560,1560,2,6,0,1520,10,0,0,0,359,0,1,0.81977206
0,2,15550,580,0,0,6,15500,310,1,9,1,360,1,0,0.8099043
0,2,2280,80,0,0,0,2180,80,0,0,0,361,1,1,0.7996857
0,2,1400,50,0,0,5,1400,0,1,9,1,362,1,1,0.7290157
1,3,60,60,1,6,0,0,0,1,1,1,363,0,0,0.7197186
0,3,20,20,1,6,0,20,10,0,0,0,364,1,1,0.72570056
1,2,260,260,3,6,0,0,50,1,1,1,365,0,1,0.86904633
1,2,1540,90,0,0,3,1440,90,0,0,0,366,0,1,0.80910695
0,2,90,50,0,2,0,90,0,1,6,1,367,1,1,0.61599827
1,3,0,0,0,6,0,0,0,1,1,1,368,0,1,0.5806844
