Married,Age,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments,h_c,s
0,0,3,1450,1830,1,1,3,840,740,0,0,0,0,0.09438976819826309
1,0,1,0,0,0,6,0,0,0,0,0,0,0,0.1373093311831595
0,1,2,250,2210,4,6,0,0,140,0,0,0,0,0.07947265720297868
0,1,2,0,0,0,6,0,0,0,0,0,0,0,0.11608430973975883
1,0,3,270,200,1,6,0,270,40,0,0,0,0,0.1247464748004392
1,0,2,2810,170,0,0,0,2810,170,0,0,0,0,0.12115690161528446
0,1,2,80,80,3,6,0,0,30,1,1,1,0,0.24450258957251053
0,0,1,3480,380,0,0,3,3480,150,0,0,0,0,0.13099145806666643
0,0,3,2410,610,0,0,0,2410,610,0,0,0,0,0.10112501625923072
0,0,3,6770,6750,1,1,0,6770,200,0,0,0,1,0.09917026603973624
0,0,3,70,150,4,6,0,60,10,0,0,0,0,0.09743653088274751
0,0,2,1240,140,0,0,1,1130,0,1,7,1,0,0.47549120650704235
0,0,3,2700,2440,1,2,1,390,2440,0,0,0,0,0.03995597831270138
1,0,1,1240,370,0,0,1,960,170,1,6,1,0,0.44142331366228343
0,0,3,1320,150,0,0,0,1110,150,0,0,0,0,0.11334208424091298
1,0,3,3600,1220,2,4,1,2480,1220,0,0,0,0,0.06932736720899989
1,0,2,1130,1220,4,6,0,0,20,1,1,1,0,0.23064119823450435
0,0,3,3300,1070,0,4,0,2750,760,0,0,0,0,0.09162348276880503
0,0,3,2200,760,0,4,0,600,310,0,0,0,0,0.09069428551906912
1,0,3,2140,150,0,0,0,2000,70,1,2,1,0,0.331942775479406
1,0,2,4890,3050,0,1,0,4560,170,0,0,0,0,0.11252301559228362
1,0,2,890,60,0,0,6,760,50,0,0,0,1,0.15740126310955543
1,0,2,0,0,0,6,0,0,0,0,0,0,0,0.13640918377568756
1,0,2,4610,1230,0,1,0,4610,120,0,0,0,1,0.12144968807919376
1,0,2,370,120,0,6,0,200,0,1,7,1,0,0.49111860156703174
0,0,2,530,150,0,0,0,260,50,1,4,1,0,0.37298812046165314
0,0,3,0,0,0,6,0,0,0,1,1,1,1,0.32197243774180423
0,1,3,3120,140,0,0,0,3120,140,0,0,0,0,0.10282513591678946
0,0,3,970,350,0,4,0,320,0,1,3,1,0,0.3425693507749239
0,0,2,2550,1000,0,0,0,1960,610,0,0,0,0,0.09312810048459369
1,0,2,1240,60,0,0,0,1170,60,0,0,0,0,0.12522724361324003
0,0,3,150,120,2,6,0,150,0,0,0,0,0,0.11257204540739581
0,1,2,600,50,0,0,6,600,40,0,0,0,0,0.13754036748127366
1,0,3,6870,560,0,0,0,6170,560,1,12,1,1,0.5361907150466823
0,0,3,290,150,1,1,3,290,10,0,0,0,0,0.12966401116283513
1,0,1,3350,2530,1,2,2,3310,110,0,0,0,0,0.12409820850404327
1,0,2,0,0,0,6,0,0,0,1,1,1,1,0.3352677730072261
0,0,2,0,0,0,6,0,0,0,1,1,1,0,0.3236381987499986
0,0,3,4270,180,0,1,0,4270,180,0,0,0,0,0.11435368859093396
0,0,2,60,60,3,6,0,0,0,0,0,0,0,0.10489924849906486
0,0,2,470,50,0,0,0,460,50,0,0,0,0,0.1215869305224952
1,0,1,8020,400,0,0,4,7900,310,0,0,0,0,0.12993282446367949
0,1,2,610,50,0,0,0,530,0,2,7,1,1,0.578267734298868
1,0,1,1460,120,0,0,0,1300,120,1,10,1,1,0.5520108389666176
0,0,2,0,10,1,6,0,0,0,1,1,1,1,0.3066969311888749
0,0,2,1170,1170,3,3,0,10,40,1,2,1,0,0.24871107283875973
0,0,3,3110,230,0,0,6,2850,130,1,11,1,0,0.6203067403741661
0,0,3,460,460,3,6,0,0,50,1,1,1,1,0.25401382832406966
1,0,3,630,620,2,6,0,80,620,0,0,0,0,0.09038917825442197
0,1,0,1860,1380,0,0,4,1860,80,0,0,0,0,0.12515091488231891
0,0,1,3360,120,0,0,3,3290,120,1,2,1,1,0.35062980545605626
1,0,3,4520,4520,3,5,0,50,150,0,0,0,0,0.05041347888249487
0,0,2,170,10,1,6,0,170,10,1,7,1,0,0.46502862019405933
1,0,3,10,0,0,6,0,10,0,0,0,0,0,0.13550478755226025
0,0,2,940,90,0,0,5,820,90,1,4,1,0,0.4289162681351369
0,0,3,1150,910,2,6,0,1150,610,0,0,0,0,0.0930690052919293
0,0,3,1970,1970,1,1,0,100,1970,0,0,0,1,0.04736230416414776
0,1,0,570,40,0,0,4,570,0,1,2,1,0,0.34911123187614124
1,0,3,0,0,0,6,0,0,0,1,1,1,0,0.33357167546477856
0,0,2,1500,60,0,0,4,1420,50,0,0,0,1,0.13978785031282195
0,0,1,390,390,2,4,0,70,30,0,0,0,0,0.10585763623400136
0,0,3,90,60,3,6,0,90,10,0,0,0,0,0.10475997003429592
1,0,3,1520,1520,2,6,0,380,70,1,2,1,0,0.2757795563628039
1,0,2,4530,170,0,0,0,4070,160,0,0,0,1,0.11249546498668297
0,0,2,2170,90,0,3,0,2170,0,1,4,1,1,0.39087192989023106
0,0,2,690,690,2,6,0,340,100,0,0,0,0,0.10390538137922364
1,0,2,200,170,2,6,0,200,30,0,0,0,1,0.11763781773716213
1,0,1,3530,170,0,0,0,3530,130,0,0,0,0,0.12275279420291911
0,0,2,620,180,0,0,4,620,40,0,0,0,0,0.14245154623921596
0,0,1,820,820,3,6,0,0,70,0,0,0,0,0.09170092859597877
0,0,3,350,370,1,6,0,350,180,0,0,0,0,0.1142283723516949
1,0,3,6020,260,0,0,0,6020,260,1,2,1,1,0.31648428252010175
0,1,2,620,50,0,0,6,600,0,1,15,1,1,0.7153545664369408
0,0,2,7920,3970,2,4,1,70,0,0,0,0,0,0.0328638096110996
1,0,0,6060,210,0,0,6,6060,210,0,0,0,0,0.14989880464866015
1,0,2,900,60,0,0,6,820,60,0,0,0,0,0.15802449841549146
0,0,3,1640,1640,2,6,0,70,40,0,0,0,0,0.0867819114268147
1,0,3,320,260,1,6,0,320,180,0,0,0,0,0.11978609759117267
0,0,3,830,60,0,0,0,740,40,0,0,0,0,0.1194550589150745
1,0,1,150,150,2,6,0,100,100,0,0,0,0,0.11532298373223103
1,0,2,30,30,0,6,0,30,30,0,0,0,0,0.13521195669783026
1,0,0,6740,170,0,0,6,6740,120,0,0,0,0,0.15299877770150258
0,0,2,1510,160,0,2,4,1460,90,0,0,0,0,0.14100706991299522
1,0,2,680,680,1,6,0,680,200,0,0,0,0,0.11923908229115578
1,0,2,30,20,1,6,0,30,10,0,0,0,0,0.12702722003544836
0,0,2,1520,70,0,1,1,1520,50,0,0,0,0,0.12677515698872327
1,0,2,620,250,0,6,0,390,110,0,0,0,0,0.1273198887096569
0,0,3,1880,1530,0,0,6,1880,0,1,12,1,1,0.6652455007095109
1,0,1,400,40,0,6,0,300,40,0,0,0,1,0.1335102389486591
0,0,3,2130,430,0,0,3,2070,90,0,0,0,0,0.131537542604199
0,0,3,7830,310,0,0,6,7830,280,0,0,0,1,0.13606804464784722
0,0,2,3440,80,0,0,6,2120,80,0,0,0,1,0.12445560269533533
0,0,3,400,460,4,6,0,400,50,0,0,0,0,0.09599180376860615
0,0,3,620,650,3,6,0,0,0,1,1,1,0,0.25169327627076843
1,0,2,3360,1770,1,1,2,3270,120,0,0,0,0,0.12170742453978582
0,0,1,220,320,3,6,0,40,110,0,0,0,1,0.1002377511762009
0,0,2,370,440,3,6,0,90,40,0,0,0,0,0.09995365616198737
0,1,0,250,40,0,2,3,230,40,0,0,0,0,0.12600967741337513
0,0,3,8320,590,0,0,1,8320,300,0,0,0,1,0.11048369374957943
0,0,1,2750,230,0,0,6,2520,90,1,2,1,0,0.3790877639108614
0,1,2,1380,70,0,0,0,1220,50,0,0,0,0,0.10519388383564973
0,1,3,930,900,1,1,0,920,50,0,0,0,0,0.10005383671841794
0,0,0,4070,310,0,2,1,4070,310,0,0,0,0,0.11802935154405321
1,0,2,1390,70,0,0,1,1390,60,0,0,0,0,0.13136684681964367
1,0,2,4770,310,1,4,0,4740,310,0,0,0,0,0.11023406950511588
0,0,2,1970,90,0,0,1,1970,70,0,0,0,0,0.12460290653384769
1,0,2,170,180,4,6,0,60,0,0,0,0,0,0.10159859806373563
0,0,2,1800,1650,2,5,0,150,80,0,0,0,0,0.08450555976826139
1,0,2,6260,310,0,0,4,6090,230,0,0,0,0,0.13277195097982353
1,0,3,480,60,0,3,0,370,60,1,11,1,0,0.59177352183184
1,0,2,130,130,3,6,0,70,50,0,0,0,0,0.10826233324522024
1,0,2,30,20,2,6,0,30,10,0,0,0,1,0.11858226840076616
0,0,2,880,40,0,1,4,500,40,0,0,0,0,0.13619781003558304
0,0,3,120,120,3,6,0,40,120,0,0,0,1,0.1002374300673091
1,0,0,5800,470,0,0,2,5800,470,1,6,1,1,0.43245603929749743
0,0,3,7050,610,0,2,1,7050,50,0,0,0,0,0.12176042224129198
0,0,3,210,150,1,6,0,210,150,0,0,0,0,0.11551495684855158
0,0,3,5750,250,0,0,4,5570,250,0,0,0,0,0.12559320115974906
1,0,2,140,140,2,6,0,0,0,1,1,1,0,0.296088695536523
1,0,3,1100,1100,1,6,0,0,0,1,1,1,0,0.2759722289272313
1,0,3,0,0,0,6,0,0,0,0,0,0,1,0.13551401043998992
0,1,3,30,30,0,6,0,30,30,0,0,0,0,0.11426820031271975
0,1,2,2110,2190,2,3,2,1100,0,0,0,0,0,0.08928568321122776
0,0,3,860,820,2,6,0,860,0,0,0,0,1,0.11143458706657236
0,1,2,960,180,0,0,0,960,180,1,2,1,0,0.29306352485295756
1,0,3,1780,440,2,5,0,1780,0,0,0,0,0,0.11535478171898311
1,0,2,1810,1620,3,4,0,40,0,0,0,0,0,0.0823265936225253
1,0,3,1260,50,0,6,0,1170,50,0,0,0,0,0.13078873735137994
0,0,2,40,40,2,6,0,30,0,0,0,0,1,0.11332875989778914
0,0,1,920,140,0,0,4,690,40,1,4,1,1,0.4193840952250536
1,0,2,3920,150,0,0,0,3850,140,0,0,0,0,0.12008879566864215
0,0,1,890,60,0,0,6,860,50,0,0,0,0,0.15359187092032592
0,0,3,300,260,2,6,0,300,260,0,0,0,1,0.10421232863860615
1,0,2,50,50,2,6,0,10,10,0,0,0,1,0.11787183562175081
1,0,2,570,280,2,6,0,570,150,1,2,1,0,0.3135983234138757
1,0,2,30,0,0,6,0,30,0,0,0,0,0,0.13638136277086588
0,0,1,460,90,0,0,0,350,40,1,2,1,0,0.3299145794069853
1,0,2,4590,920,0,0,0,4460,920,0,0,0,0,0.09402319022386756
0,0,2,0,0,0,6,0,0,0,0,0,0,0,0.130325124053148
0,0,3,1820,1310,0,6,0,1820,1310,0,0,0,0,0.08665653001047027
1,0,1,2420,100,0,0,3,2420,100,1,5,1,0,0.45057821989779123
0,0,1,3100,890,0,0,1,3100,50,0,0,0,0,0.12444130578759312
0,0,2,2180,60,0,0,0,2180,0,1,20,1,1,0.7927030058782653
0,0,3,7220,1110,0,1,0,6670,580,0,0,0,0,0.0914856815653532
1,0,2,1750,90,0,0,2,1750,90,0,0,0,0,0.13509016403969284
0,0,3,590,40,0,0,0,570,40,0,0,0,0,0.12085775673627838
1,0,1,200,30,0,6,0,190,0,1,2,1,1,0.36194859619076253
0,0,3,30,70,3,6,0,10,20,0,0,0,0,0.10419368708923672
0,0,3,980,980,1,5,0,310,980,0,0,0,0,0.08059788637491384
0,0,1,3840,270,0,0,0,3230,270,0,0,0,0,0.10288480946606081
1,0,2,11400,470,0,0,3,11090,470,0,0,0,0,0.11268854932386045
0,0,2,190,60,0,6,0,110,60,0,0,0,0,0.12649337411642353
0,0,2,4530,4530,2,4,0,1890,2430,0,0,0,0,0.03365756389105901
0,1,3,1560,170,0,0,6,1460,170,1,2,1,1,0.3461892454037067
1,0,1,620,80,0,3,0,620,80,1,8,1,1,0.5140914046815488
0,0,3,4150,370,0,0,6,3890,370,2,4,1,0,0.5474931740084404
1,0,1,3430,150,0,0,0,3430,150,0,0,0,0,0.12215942870037595
1,0,1,410,410,4,6,0,0,30,1,1,1,0,0.254917112202456
0,1,2,280,40,0,0,0,220,40,0,0,0,0,0.10787469750570429
1,0,3,6360,210,0,0,0,3920,190,1,2,1,0,0.2422507545214264
1,0,3,30,10,1,6,0,30,0,0,0,0,0,0.12655131530865063
0,0,1,4860,230,0,0,4,4760,170,0,0,0,0,0.1324617368882183
1,0,2,730,50,0,1,0,730,50,0,0,0,0,0.12834141199059299
1,0,2,1210,50,0,0,0,1210,50,0,0,0,0,0.12685415074071077
1,0,3,3040,260,0,0,5,2670,240,1,8,1,1,0.5263672492137694
0,0,2,100,40,1,6,0,100,40,0,0,0,0,0.12019526235513371
0,0,3,710,710,1,5,0,10,10,0,0,0,0,0.10711196416986477
1,0,1,2170,80,0,5,0,2170,60,1,2,1,0,0.3520016622691368
1,0,2,730,30,0,5,0,730,30,0,0,0,0,0.13345685393181764
1,0,2,4660,2980,1,4,0,4660,90,0,0,0,1,0.11570508029287362
1,0,2,2270,170,0,0,5,1950,170,1,9,1,0,0.5656243346141518
0,0,2,1700,1700,2,6,0,1610,1700,0,0,0,0,0.06614981040445794
1,0,1,130,700,1,6,0,80,0,1,11,1,0,0.589842359764172
0,0,2,2190,890,1,1,2,2190,40,0,0,0,0,0.12216072125877246
0,0,2,2000,150,0,0,6,1730,90,1,2,1,1,0.377334855238174
1,0,2,1060,1130,2,6,0,270,310,0,0,0,0,0.09561038294227597
1,0,3,3290,500,0,5,0,3290,500,0,0,0,0,0.11358623212183962
0,0,0,1990,2010,3,5,0,370,690,0,0,0,0,0.06641890892534694
1,0,3,1620,90,0,0,0,1440,60,0,0,0,0,0.1221404536365385
1,0,1,150,90,2,6,0,150,0,1,4,1,0,0.37858085184659157
1,0,2,4500,190,0,0,0,4500,150,0,0,0,0,0.12041392559472631
1,0,2,360,350,1,6,0,0,0,1,1,1,0,0.3044291169004962
1,0,1,0,0,0,6,0,0,0,0,0,0,0,0.1373093311831595
1,0,3,5430,240,0,0,0,5420,190,0,0,0,0,0.11728147358543323
1,0,2,2040,90,0,0,0,1970,70,0,0,0,0,0.1241590536433632
0,0,2,650,2890,1,6,0,650,120,0,0,0,0,0.11459697118862075
1,0,2,2680,240,0,0,0,2430,210,0,0,0,0,0.11567139996916237
0,0,2,1280,210,0,2,0,1260,60,1,2,1,0,0.3325782396509387
1,0,3,30,30,2,6,0,0,10,1,1,1,0,0.29787278395567957
1,0,2,1290,310,0,6,0,570,310,0,0,0,0,0.11166106273535725
1,0,3,40,30,2,6,0,40,0,0,0,0,0,0.11810811843234385
0,0,3,70,520,3,6,0,0,0,0,0,0,0,0.10367160497834124
1,0,2,3890,230,0,0,0,3890,130,0,0,0,0,0.12157792478354597
0,1,2,5170,270,0,2,2,5170,170,0,0,0,0,0.11140618055554599
0,1,1,300,40,0,0,4,210,30,1,2,1,0,0.34241022915158836
1,0,3,3390,350,0,0,4,3340,350,1,2,1,0,0.3526676207888735
0,0,2,110,20,1,6,0,110,0,1,2,1,0,0.33110050805081376
0,0,2,2960,3760,1,5,0,2510,90,0,0,0,0,0.10507945886319725
0,0,3,900,50,0,0,0,890,50,0,0,0,0,0.12041639703751979
0,0,1,600,40,0,6,0,570,40,0,0,0,0,0.128612573304055
0,0,3,80,0,0,6,0,80,0,1,4,1,1,0.40003550314646036
0,0,3,2390,100,0,2,2,2390,100,0,0,0,1,0.12941436062352593
0,0,3,700,60,0,6,0,570,50,1,2,1,1,0.3375120128541918
1,0,2,80,2160,3,6,0,40,30,0,0,0,1,0.10759966015596455
0,0,2,290,3060,6,6,0,0,0,0,0,0,0,0.07995870470547213
1,0,2,2960,150,0,0,1,2960,90,0,0,0,0,0.1287933596123232
0,0,2,4030,180,0,0,6,3890,0,1,3,1,1,0.41246134548491914
0,1,1,500,60,0,0,1,450,0,2,9,1,1,0.6457760359978656
0,0,2,160,160,2,6,0,10,10,0,0,0,0,0.11058397400427701
1,0,2,1510,80,0,0,0,1360,50,1,12,1,1,0.6111328683340784
1,0,2,9320,290,0,0,5,9190,290,0,0,0,1,0.13369743945502116
0,0,1,8580,8450,1,0,3,5750,8450,0,0,0,0,0.005383387976930724
1,0,2,100,180,2,6,0,100,100,0,0,0,0,0.11537721014745611
1,0,1,890,70,0,0,6,890,50,0,0,0,0,0.1611989693861676
0,0,3,4610,180,0,0,3,3610,100,0,0,0,1,0.11317977143454525
0,0,3,680,580,2,5,0,0,100,2,5,1,1,0.49273064193229676
0,0,1,960,60,0,0,3,960,0,1,6,1,1,0.4766599469048763
1,0,2,4340,200,0,2,0,4340,160,0,0,0,0,0.12223702617502107
0,0,2,4590,610,0,1,0,4590,70,0,0,0,0,0.11816801742800308
1,0,3,380,380,3,6,0,0,10,1,1,1,0,0.26941205754994035
0,0,3,590,590,3,6,0,110,370,0,0,0,0,0.0872859446067211
0,0,3,1320,40,0,0,1,1320,40,0,0,0,0,0.12543744718907276
1,0,3,1960,1970,3,6,0,1030,1620,0,0,0,0,0.05766405889955692
1,0,3,2860,150,0,0,0,2860,100,0,0,0,0,0.122743734236187
0,0,3,320,80,0,6,0,220,80,1,6,1,1,0.444453675588324
1,0,3,10,10,0,6,0,10,10,0,0,0,0,0.13511616075314983
0,0,2,2540,60,0,0,1,2540,50,0,0,0,0,0.12484734145812973
1,0,2,100,100,2,6,0,0,0,1,1,1,0,0.29756136762511454
0,0,2,90,90,3,6,0,40,90,0,0,0,0,0.10229660101308401
1,1,2,1770,90,0,0,3,1770,80,0,0,0,1,0.1255819150738451
1,0,2,1690,60,0,0,0,1690,60,0,0,0,0,0.1260697579386991
1,0,2,890,80,0,0,6,790,50,1,13,1,1,0.7001619842521709
0,0,2,0,0,0,6,0,0,0,0,0,0,0,0.130325124053148
1,0,2,1710,1630,2,6,0,1710,1630,0,0,0,0,0.0719469695275629
0,0,3,4100,230,0,0,0,4100,180,0,0,0,0,0.11347945563352564
0,0,2,310,110,0,0,5,210,110,1,2,1,1,0.3748551548528917
1,0,3,0,0,0,6,0,0,0,0,0,0,0,0.13551401043998992
0,0,2,2850,150,0,0,6,2560,120,0,0,0,0,0.14248334935566337
0,0,1,1540,80,0,0,3,1500,80,0,0,0,0,0.13491508659990117
0,0,3,0,0,0,6,0,0,0,1,1,1,1,0.32197243774180423
1,0,3,14870,1700,0,0,6,12890,490,1,4,1,0,0.3215104812837862
0,0,2,590,590,3,4,0,90,70,0,0,0,0,0.09407713470313095
1,0,3,440,40,0,6,0,410,40,0,0,0,0,0.13300858243419023
1,0,3,5700,7990,3,4,0,5700,7990,0,0,0,0,0.008111831976262624
1,0,3,3080,3050,4,5,0,0,20,1,1,1,0,0.17295019792378682
1,0,2,1150,770,3,6,0,30,0,0,0,0,0,0.09316581366622304
0,0,1,3170,1840,1,2,0,1690,310,0,0,0,0,0.08432605391657445
1,0,1,1620,220,0,0,0,1490,50,0,0,0,0,0.12489022083419665
0,0,1,740,180,2,4,0,740,30,0,0,0,0,0.11070917762776902
0,0,2,930,930,2,5,0,100,0,1,4,1,1,0.32926268492399857
0,0,2,1080,50,0,3,0,1080,50,0,0,0,1,0.12434164899604234
1,0,1,0,0,0,6,0,0,0,0,0,0,1,0.1373093311831595
0,0,3,20,20,2,6,0,10,20,1,2,1,0,0.3107483973526995
0,0,1,430,430,2,6,0,0,430,1,1,1,0,0.24947583829761263
1,0,2,90,110,4,6,0,0,10,0,0,0,0,0.10170634091553536
0,0,2,1510,110,0,0,0,1470,80,2,4,1,1,0.5201154201629175
0,1,2,2130,180,0,0,6,1920,90,1,13,1,1,0.6507405715983197
0,0,3,2700,2440,1,2,1,290,120,0,0,0,0,0.07987879743658419
0,0,3,10,0,0,6,0,10,0,0,0,0,0,0.1294550185797736
1,0,1,1150,100,0,2,0,1070,100,1,6,1,0,0.4492948495412992
0,0,2,5970,430,0,0,6,5750,270,1,2,1,0,0.35784120054910135
0,0,3,770,130,0,6,0,750,50,0,0,0,0,0.12650188797045414
1,0,1,930,980,1,0,5,930,50,0,0,0,0,0.14422520367681474
0,0,3,6660,310,0,0,5,6410,310,0,0,0,0,0.1263257868168404
0,0,3,80,80,2,6,0,50,0,0,0,0,1,0.11218104998971354
1,0,2,1550,120,0,0,2,1550,50,0,0,0,0,0.13676690483856282
0,0,3,0,0,0,6,0,0,0,1,1,1,1,0.32197243774180423
0,0,1,1120,90,0,0,0,1040,60,0,0,0,0,0.12028133478618648
0,0,3,1590,120,0,0,0,1370,90,1,13,1,1,0.6177541328680581
0,0,2,540,150,0,3,0,240,50,0,0,0,1,0.11956275385710578
0,0,2,640,640,1,6,0,10,0,1,8,1,0,0.46669944881908804
1,0,1,1820,70,0,0,3,1820,70,0,0,0,0,0.14209334971642368
0,0,2,50,60,3,6,0,20,20,0,0,0,0,0.10474983421659803
0,0,3,220,220,1,6,0,110,0,0,0,0,0,0.11864579512345529
1,0,2,1130,1010,3,2,0,890,0,0,0,0,0,0.10203592841149266
1,0,1,860,920,1,2,0,30,30,0,0,0,0,0.10796701199584868
0,0,2,780,70,0,6,0,720,40,0,0,0,0,0.1270414203643946
0,0,3,20,20,1,6,0,10,0,0,0,0,0,0.12067483515321958
0,0,2,10010,360,0,0,6,10010,340,0,0,0,0,0.1326500962078346
0,0,3,320,80,0,6,0,320,40,0,0,0,0,0.12765575548560198
1,0,3,4820,4590,2,3,0,330,0,0,0,0,0,0.05550960925384067
1,0,2,1540,60,0,0,0,1400,60,1,12,1,1,0.6107274839694794
0,0,3,1630,120,0,0,0,1400,0,2,6,1,1,0.5729797259436085
1,0,3,1130,1130,3,6,0,110,570,0,0,0,0,0.07910287233579874
0,0,2,800,800,3,5,0,50,800,0,0,0,0,0.07343504626298061
0,0,2,4440,460,0,0,0,3700,140,0,0,0,0,0.10356442278122766
1,0,2,1260,1260,3,4,0,320,1260,0,0,0,0,0.06423221609773092
1,0,2,750,40,0,0,0,740,20,1,10,1,1,0.565580521287676
0,0,3,690,690,4,6,0,120,110,0,0,0,0,0.08647117248953927
1,0,2,250,250,1,6,0,90,30,0,0,0,0,0.1231147739704629
1,0,2,5820,310,0,0,3,5820,210,0,0,0,0,0.13187743544776007
0,0,3,40,40,2,6,0,0,0,1,1,1,0,0.28728206924427063
0,0,1,880,60,0,0,6,760,50,0,0,0,0,0.15173736075342037
0,0,2,9240,640,0,0,6,8840,640,1,2,1,0,0.3184547611845906
1,0,2,1010,80,0,0,0,910,50,1,12,1,1,0.6139677651544888
0,0,2,3420,200,0,0,4,3270,120,0,0,0,0,0.13386412436419667
1,0,2,80,80,2,6,0,70,60,0,0,0,0,0.1166430109024605
0,0,2,5200,4500,2,2,0,2720,520,0,0,0,0,0.06080347159663856
0,0,1,1730,70,0,0,3,1730,0,1,5,1,0,0.4469705145908565
1,0,1,490,60,0,0,0,490,60,0,0,0,1,0.12796223374448268
1,0,2,20,40,2,6,0,10,10,0,0,0,1,0.1184057422730168
0,0,1,590,590,1,5,0,170,0,0,0,0,0,0.11351651020992111
0,0,0,60,60,3,6,0,10,60,0,0,0,0,0.10465665073774416
0,0,2,210,80,1,6,0,210,80,0,0,0,0,0.118706711868899
1,0,3,1990,90,0,0,0,1780,90,0,0,0,0,0.12028362194054393
0,1,2,460,90,0,0,0,380,0,1,13,1,1,0.6026218587234028
0,0,3,310,310,1,6,0,0,0,0,0,0,0,0.1151878627886652
1,0,1,4610,330,0,0,0,4150,150,1,6,1,0,0.4185084848047576
0,0,1,1490,40,0,0,2,1480,40,0,0,0,0,0.1318548922753478
0,0,1,130,130,1,6,0,110,110,0,0,0,0,0.11817575558541538
1,0,1,890,60,0,6,0,850,50,0,0,0,0,0.13378201614427884
0,0,3,3050,210,0,2,2,2960,160,0,0,0,0,0.12497868904712225
0,0,3,1630,1630,2,6,0,750,330,0,0,0,0,0.08812062335876394
0,0,1,1330,70,0,0,4,1320,60,0,0,0,0,0.14182618033221017
0,0,2,780,110,0,6,0,690,0,1,7,1,0,0.4803832174245017
0,0,2,3510,2010,1,0,5,1580,2010,1,2,1,1,0.1766426167881574
0,0,3,0,0,0,6,0,0,0,0,0,0,0,0.1294638913657178
0,0,1,2140,90,0,0,0,2140,70,0,0,0,0,0.12044491435866723
1,0,2,600,90,0,0,0,500,90,1,10,1,1,0.556636895541422
