Married,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments,user,sensitive,h_c,s
0,2,650,960,4,6,0,10,650,0,0,0,2734,1,1,0.90128577
1,2,1560,70,0,0,3,1560,70,0,0,0,2736,0,1,0.8271229
0,2,1700,70,0,0,0,1700,60,0,0,0,2741,1,1,0.8373524
0,3,280,120,1,6,0,280,60,0,0,0,2743,1,1,0.8977565
1,2,240,20,1,6,0,240,0,0,0,0,2780,0,0,0.52775526
1,3,310,320,2,6,0,50,40,1,6,1,2796,0,1,0.8620689
1,1,180,50,0,6,0,180,0,2,8,1,2821,0,0,0.58409053
0,2,550,50,0,0,6,490,50,0,0,0,2856,1,1,0.64626986
1,2,580,50,0,0,0,460,50,0,0,0,2863,0,1,0.7091506
1,2,2310,150,0,0,0,2310,120,0,0,0,2904,0,1,0.8287024
1,2,2460,110,0,0,6,2460,90,1,2,1,2950,0,1,0.82712334
0,3,1280,140,0,0,2,1280,50,0,0,0,2956,1,0,0.7863912
0,1,160,90,2,6,0,160,30,1,2,1,2957,1,1,0.8713623
0,2,2440,2470,2,5,0,150,30,0,0,0,2984,1,1,0.8585747
1,3,10,10,0,6,0,10,10,0,0,0,3045,0,1,0.7950779
0,1,2520,2720,2,4,0,170,2720,0,0,0,3056,0,1,0.8812205
1,2,2830,110,0,0,0,2730,100,0,0,0,3064,0,1,0.7966172
0,2,660,660,2,6,0,10,0,2,8,1,3087,1,1,0.78833413
0,2,4530,210,0,0,6,4530,0,1,3,1,3128,1,1,0.6894937
0,2,3750,310,0,0,0,3750,310,0,0,0,3130,1,1,0.8428368
0,3,7050,610,0,0,4,7050,310,0,0,0,3148,1,1,0.7587437
0,1,0,0,0,6,0,0,0,0,0,0,3150,1,0,0.45624772
1,2,2210,80,0,0,2,2210,80,0,0,0,3208,0,1,0.8201664
0,2,1260,150,0,0,0,1090,90,0,0,0,3221,1,1,0.66851425
0,2,1100,310,0,6,0,1100,90,0,0,0,3304,1,0,0.89613926
1,2,6580,6140,3,3,0,600,780,0,0,0,3315,0,1,0.901403
1,3,1440,150,0,0,0,1170,150,1,8,1,3353,0,1,0.70266986
1,1,2580,150,0,2,0,2580,80,0,0,0,3354,0,1,0.7401876
1,2,970,970,2,6,0,10,970,0,0,0,3384,0,0,0.8973826
1,2,3770,310,0,4,1,3540,310,0,0,0,3392,0,1,0.7992998
0,2,3470,180,0,0,2,3470,180,0,0,0,3401,1,1,0.8458059
1,2,220,450,4,6,0,220,10,0,0,0,3409,0,1,0.84006244
0,2,410,810,5,6,0,0,410,0,0,0,3412,1,1,0.8534675
1,1,1700,1620,0,0,3,1700,90,1,2,1,3418,0,1,0.84206504
1,3,230,230,2,6,0,10,10,0,0,0,3434,0,0,0.84577465
1,1,5160,4910,1,1,0,5160,230,0,0,0,3437,0,1,0.85727173
1,2,2430,70,0,0,2,2430,70,0,0,0,3452,0,1,0.84133434
0,3,1860,210,0,6,0,1860,210,0,0,0,3473,1,1,0.874009
1,3,1350,1350,2,4,0,40,40,0,0,0,3490,0,0,0.8611481
0,2,4500,150,0,0,0,4040,150,0,0,0,3502,1,1,0.72876847
0,3,160,160,2,6,0,30,40,1,4,1,3508,1,1,0.8238696
1,2,270,140,1,6,0,180,90,0,0,0,3513,0,1,0.8079504
1,2,1820,1530,1,1,0,1060,160,0,0,0,3521,0,1,0.909085
0,2,580,120,0,4,0,260,120,1,2,1,3536,1,1,0.72633785
1,3,180,120,2,6,0,180,120,0,0,0,3538,0,0,0.87883097
0,2,1680,90,0,0,0,1680,90,0,0,0,3541,1,1,0.819966
1,1,2700,150,0,0,3,2660,120,0,0,0,3557,0,1,0.8389468
0,1,620,110,0,0,6,560,50,2,4,1,3592,0,0,0.68872947
0,2,950,80,0,0,6,830,0,2,8,1,3605,1,0,0.44229788
1,1,14530,1810,0,0,1,14530,1810,0,0,0,3615,0,1,0.84359854
1,1,2120,2120,2,5,0,10,50,1,2,1,3618,0,0,0.8607645
1,3,960,120,0,5,0,550,60,0,0,0,3622,0,1,0.76292974
0,2,400,40,0,0,0,390,40,0,0,0,3687,1,0,0.8309285
0,2,9070,340,0,0,5,9070,0,1,3,1,3688,1,1,0.7355491
0,3,560,90,1,2,3,460,50,0,0,0,3704,0,0,0.7214443
0,3,800,580,3,3,0,610,150,0,0,0,3722,1,1,0.91772485
0,1,1350,90,0,0,4,1140,90,1,2,1,3723,1,0,0.6740492
1,2,3040,3790,3,6,0,2210,3040,0,0,0,3733,0,1,0.90718937
1,2,220,50,1,6,0,40,50,0,0,0,3750,0,0,0.8799843
1,3,230,230,2,6,0,0,0,0,0,0,3752,0,1,0.82344025
0,3,720,60,0,0,0,560,60,0,0,0,3756,1,1,0.7373577
1,1,680,190,0,5,0,680,50,0,0,0,3758,0,0,0.87730795
0,2,5030,220,0,0,0,4630,170,0,0,0,3775,1,1,0.75487906
1,2,210,180,1,6,0,20,0,1,10,1,3776,0,0,0.73902476
0,3,1000,120,0,0,6,890,110,1,2,1,3784,1,1,0.75191116
1,1,1710,1220,3,5,0,210,0,0,0,0,3826,0,1,0.8482282
1,2,290,50,0,6,0,180,30,0,0,0,3829,0,1,0.7305709
0,3,8400,180,0,0,0,5100,180,0,0,0,3841,1,1,0.7142154
0,3,2180,150,0,0,0,1980,120,0,0,0,3856,1,1,0.6783373
0,3,1000,1070,1,2,0,730,0,2,7,1,3869,1,1,0.83577776
1,3,400,400,3,6,0,160,60,0,0,0,3882,0,1,0.91009444
1,3,2990,130,0,1,0,2990,130,0,0,0,3889,0,1,0.84509444
1,2,30,30,2,6,0,10,10,1,2,1,3910,0,0,0.6791959
0,2,3940,230,0,0,1,3940,120,0,0,0,3914,1,1,0.8299071
0,2,590,50,0,0,6,540,50,0,0,0,3926,1,1,0.665707
1,2,1120,160,0,6,0,930,60,0,0,0,3939,0,1,0.6886387
1,1,3790,190,0,0,4,3730,180,2,8,1,3950,0,1,0.83181274
1,1,7800,4460,1,2,2,7800,160,1,2,1,3971,0,0,0.8092844
0,2,570,570,3,6,0,260,570,0,0,0,3972,1,1,0.9266516
0,3,30,40,4,6,0,0,30,1,1,1,4031,1,1,0.7591245
0,3,1090,150,0,6,0,870,110,0,0,0,4033,1,1,0.6537383
1,2,2850,320,0,0,0,2330,130,1,6,1,4048,0,0,0.73231614
0,3,12060,4890,0,0,0,11620,320,0,0,0,4059,1,1,0.845891
1,3,60,0,0,6,0,60,0,0,0,0,4061,0,1,0.8564533
0,1,790,60,0,4,0,780,60,0,0,0,4067,1,0,0.84028435
1,3,4650,220,0,0,6,4640,220,0,0,0,4085,0,1,0.8268534
1,1,1500,60,0,2,4,1430,60,0,0,0,4127,0,0,0.8045962
0,3,200,90,1,6,0,60,90,1,2,1,4164,1,1,0.5259937
0,2,1540,80,0,0,3,1540,70,0,0,0,4191,1,0,0.81776947
0,2,130,130,1,6,0,10,0,0,0,0,4204,1,1,0.7391069
1,2,1120,110,0,0,0,1010,0,1,11,1,4212,0,1,0.42795825
1,2,100,100,2,6,0,0,100,0,0,0,4231,0,1,0.74686456
0,2,290,80,0,1,3,200,60,0,0,0,4271,1,1,0.42894202
0,1,2390,90,0,0,3,2340,90,0,0,0,4279,1,1,0.8018808
1,3,1570,610,0,6,0,880,610,0,0,0,4282,0,1,0.889178
0,2,1440,920,2,2,1,1440,50,0,0,0,4313,1,1,0.82377356
1,3,460,460,1,6,0,10,10,0,0,0,4326,0,1,0.8641464
1,3,350,350,4,6,0,0,0,0,0,0,4331,0,1,0.8181325
1,2,1210,110,0,0,0,1060,110,1,2,1,4351,0,0,0.6349565
1,2,1550,60,0,0,3,1520,60,0,0,0,4367,0,1,0.8157141
1,2,4520,980,1,0,4,4410,120,0,0,0,4382,0,0,0.8270245
1,2,1090,50,0,0,0,1090,40,0,0,0,4441,0,1,0.8497137
0,3,340,60,0,0,0,270,40,1,7,1,4454,1,0,0.5651088
0,2,580,340,1,5,0,580,340,0,0,0,4471,1,1,0.92088574
1,3,30,60,4,6,0,0,0,2,5,1,4480,0,1,0.73731303
0,3,250,250,3,3,0,120,140,0,0,0,4487,1,1,0.91800505
1,2,2190,80,0,0,3,2190,0,1,3,1,4502,0,0,0.6302491
0,1,1670,340,0,3,0,1670,340,0,0,0,4547,1,1,0.8926558
0,3,700,0,0,6,0,700,0,1,4,1,4554,1,0,0.60749954
1,3,4350,180,0,0,0,3860,150,0,0,0,4567,0,1,0.7689936
0,3,2200,170,0,6,0,2200,150,0,0,0,4573,1,1,0.8407983
0,2,950,70,0,0,6,950,0,2,7,1,4582,1,1,0.45499566
1,2,8520,320,0,0,6,8520,320,0,0,0,4584,0,1,0.8429833
0,2,190,210,1,6,0,190,180,0,0,0,4605,1,1,0.90205973
0,3,120,110,3,6,0,120,50,0,0,0,4622,1,1,0.8840471
1,2,0,10,1,6,0,0,0,0,0,0,4627,0,1,0.6905786
0,2,450,60,0,0,0,350,50,0,0,0,4637,1,1,0.6452406
1,3,1130,60,0,3,0,1070,60,0,0,0,4638,0,1,0.78020614
0,3,220,220,3,6,0,160,170,0,0,0,4647,1,1,0.9096577
0,3,770,470,2,6,0,150,0,0,0,0,4652,1,1,0.7994186
1,3,1840,210,1,1,0,1840,70,0,0,0,4660,0,1,0.7793689
1,2,1260,1260,3,5,0,0,0,1,1,1,4663,0,1,0.8254674
0,1,3160,160,0,0,1,3160,80,2,4,1,4679,1,0,0.7873625
0,3,6870,310,0,0,3,6870,310,0,0,0,4680,1,1,0.8548715
0,3,190,190,3,6,0,80,80,0,0,0,4687,1,1,0.91452664
1,2,11290,370,0,0,2,11290,370,0,0,0,4695,0,1,0.8478302
1,1,1350,270,0,0,1,1350,270,0,0,0,4699,0,1,0.8862458
1,2,580,40,0,0,6,540,40,0,0,0,4708,0,1,0.6544556
0,2,4140,310,0,0,5,3800,310,0,0,0,4714,1,1,0.78199416
0,1,460,40,0,0,0,420,0,1,5,1,4722,1,0,0.4384844
0,3,1840,1770,2,3,0,0,0,1,1,1,4744,1,1,0.830221
1,3,2100,2710,4,6,0,310,320,0,0,0,4758,0,1,0.9519707
1,2,3280,150,0,0,3,3280,140,1,2,1,4788,0,1,0.8410381
0,3,490,10,1,5,1,490,0,0,0,0,4799,1,1,0.6695392
0,2,400,60,0,3,0,250,30,1,6,1,4803,1,0,0.66484946
0,3,2880,210,0,0,6,2690,130,0,0,0,4820,1,1,0.7147311
1,1,500,60,0,6,0,430,50,0,0,0,4833,0,1,0.63963217
0,3,2760,110,0,0,2,2760,90,0,0,0,4850,1,1,0.82078624
1,3,120,120,2,6,0,110,20,0,0,0,4863,0,0,0.8631724
1,2,5710,180,0,0,2,5710,0,1,4,1,4902,0,0,0.6987594
1,2,6870,310,0,0,0,6290,310,0,0,0,4903,0,1,0.7811773
0,3,3750,920,0,0,0,3290,920,0,0,0,4918,1,1,0.9034347
0,2,2430,180,0,0,6,2240,100,0,0,0,4930,1,1,0.6186769
0,2,1560,80,0,0,6,1560,60,0,0,0,4932,1,1,0.82527155
1,2,100,80,2,6,0,100,80,0,0,0,4971,0,1,0.86302865
0,3,380,380,2,6,0,0,0,1,1,1,4982,1,1,0.82874775
0,3,10,910,3,6,0,0,10,1,1,1,5002,1,1,0.8099825
0,2,1870,1870,1,6,0,830,150,0,0,0,5004,1,1,0.8969968
1,3,170,0,0,6,0,170,0,0,0,0,5013,0,1,0.7392011
0,3,6730,370,0,0,5,6730,210,0,0,0,5037,1,1,0.8130629
0,2,610,50,0,1,5,590,50,0,0,0,5057,1,1,0.77343
0,2,660,20,0,0,5,660,0,1,21,1,5115,1,1,0.40875342
0,3,2590,170,0,0,0,2250,140,1,12,1,5135,1,0,0.7002527
0,3,560,710,1,1,2,410,180,1,2,1,5151,1,0,0.95268935
0,2,7130,370,0,0,6,7130,210,1,2,1,5179,1,0,0.833794
0,3,3560,180,0,0,6,3470,180,1,12,1,5188,1,1,0.80480933
0,2,700,310,2,6,0,140,270,0,0,0,5194,1,1,0.84462655
0,3,710,370,0,6,0,460,370,0,0,0,5229,1,1,0.9198134
0,2,590,40,0,0,6,580,40,0,0,0,5230,1,1,0.8366886
1,2,190,0,0,6,0,190,0,0,0,0,5245,0,1,0.8078698
1,3,10,10,0,6,0,10,10,0,0,0,5253,0,1,0.80231076
